ナンバリング,科目名,単位,配当年次,授業形態,備考,大分類,中分類,小分類,必修選択,履修済み,危険
GEA02020,情報技術と人間社会,2,1-4,講義,,総合科目,,,,False,False
GEA02030,メディアと社会,2,1-4,講義,,総合科目,,,,False,False
GEA02040,データ分析の基礎,2,1-4,講義,,総合科目,,,,False,False
GEA02050,データ分析の応用,2,1-4,講義,,総合科目,,,,False,False
GEA02060,Information Technology and Global Communication,2,1-4,講義,* ※（1）,総合科目,,,,False,False
GEA01010,表現技法とインタラクション,2,1-4,演習,◆,総合科目,,,,False,False
GEA01020,問題解決とコンピューティング,2,1-4,演習,◆,総合科目,,,,False,False
GEA01030,デジタル協働学,2,1-4,演習,◆,総合科目,,,,False,False
GEA01040,データマイニング入門,2,1-4,演習,,総合科目,,,,False,False
GEA01050,インターネット･イングリッシュ,2,1-4,演習,◆,総合科目,,,,False,False
GEA01060,クリエイティブ･ライティング,2,1-4,演習,,総合科目,,,,False,False
GEA01070,アカデミック･ディベート,2,1-4,演習,,総合科目,,,,False,False
GEA01080,クリティカル･シンキング,2,1-2,演習,※（2）,総合科目,,,,False,False
GEA01090,Digital Media Training,2,1-4,演習,◆ ※（1）、（3）,総合科目,,,,False,False
GEA01100,Accounting and Finance（a）,4,1,演習,※（4）,総合科目,,,,False,False
GEA01110,基礎数学,2,1-4,演習,,総合科目,,,,False,False
GEB02010,グローバル時代の歴史認識,2,1-4,講義,,総合科目,,,,True,False
GEB02020,20世紀の世界,2,1-4,講義,◆,総合科目,,,,False,False
GEB02030,20世紀の日本,2,1-4,講義,,総合科目,,,,True,False
GEB02040,社会思想の歴史,2,1-4,講義,*,総合科目,,,,False,False
GEB02050,人文学入門,2,1-4,講義,,総合科目,,,,False,False
GEB02060,日本と世界の宗教,2,1-4,講義,,総合科目,,,,False,False
GEB02070,日本の伝統と文化,2,1-4,講義,,総合科目,,,,False,False
GEB02080,現代の世界と人々,2,1-4,講義,◆,総合科目,,,,False,False
GEB02090,多文化共生の現在,2,1-4,講義,,総合科目,,,,False,False
GEB02100,Japan in the Modern World,2,1-4,講義,* ※（1）,総合科目,,,,False,False
GEB02110,"Introduction to Race, Ethnicity and Nation",2,1-4,講義,* ※（1）,総合科目,,,,False,False
GEB01010,世界の名著,2,1-4,演習,◆,総合科目,,,,False,False
GEB01020,日本の名著,2,1-4,演習,◆,総合科目,,,,False,False
